taskFamilyId,seed,snrDb,windowLength,detectorId,auc
structured-burst-vs-noise-only,24680,-9,128,ed,0.666667
structured-burst-vs-noise-only,24680,-9,128,lzmsa-paper,0.666667
structured-burst-vs-noise-only,24680,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.472222
structured-burst-vs-noise-only,24680,-3,64,cav,0.666667
structured-burst-vs-noise-only,24680,-3,64,ed,0.555556
structured-burst-vs-noise-only,24680,-3,64,lzmsa-paper,0.722222
structured-burst-vs-noise-only,24680,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.333333
structured-burst-vs-noise-only,24680,-3,128,cav,0.888889
structured-burst-vs-noise-only,24680,-3,128,ed,0.750000
structured-burst-vs-noise-only,24680,-3,128,lzmsa-paper,0.555556
structured-burst-vs-noise-only,24680,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.305556
structured-burst-vs-noise-only,24680,0,64,cav,0.416667
structured-burst-vs-noise-only,24680,0,64,ed,0.555556
structured-burst-vs-noise-only,24680,0,64,lzmsa-paper,0.527778
structured-burst-vs-noise-only,24680,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.527778
structured-burst-vs-noise-only,24680,0,128,cav,0.611111
structured-burst-vs-noise-only,24680,0,128,ed,0.416667
structured-burst-vs-noise-only,24680,0,128,lzmsa-paper,0.527778
structured-burst-vs-noise-only,24680,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.638889
structured-burst-vs-noise-only,86420,-9,64,cav,0.277778
structured-burst-vs-noise-only,86420,-9,64,ed,0.277778
structured-burst-vs-noise-only,86420,-9,64,lzmsa-paper,0.750000
structured-burst-vs-noise-only,86420,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.833333
structured-burst-vs-noise-only,86420,-9,128,cav,0.722222
structured-burst-vs-noise-only,86420,-9,128,ed,0.694444
structured-burst-vs-noise-only,86420,-9,128,lzmsa-paper,0.527778
structured-burst-vs-noise-only,86420,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.472222
structured-burst-vs-noise-only,86420,-3,64,cav,0.583333
structured-burst-vs-noise-only,86420,-3,64,ed,0.666667
structured-burst-vs-noise-only,86420,-3,64,lzmsa-paper,0.583333
structured-burst-vs-noise-only,86420,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000
structured-burst-vs-noise-only,86420,-3,128,cav,0.722222
structured-burst-vs-noise-only,86420,-3,128,ed,1.000000
structured-burst-vs-noise-only,86420,-3,128,lzmsa-paper,0.583333
structured-burst-vs-noise-only,86420,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,1.000000
structured-burst-vs-noise-only,86420,0,64,cav,0.916667
structured-burst-vs-noise-only,86420,0,64,ed,0.694444
structured-burst-vs-noise-only,86420,0,64,lzmsa-paper,0.472222
structured-burst-vs-noise-only,86420,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.166667
structured-burst-vs-noise-only,86420,0,128,cav,0.777778
structured-burst-vs-noise-only,86420,0,128,ed,0.583333
structured-burst-vs-noise-only,86420,0,128,lzmsa-paper,0.333333
structured-burst-vs-noise-only,86420,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.638889
structured-burst-vs-noise-only,97531,-9,64,cav,0.472222
structured-burst-vs-noise-only,97531,-9,64,ed,0.777778
structured-burst-vs-noise-only,97531,-9,64,lzmsa-paper,0.416667
structured-burst-vs-noise-only,97531,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.472222
structured-burst-vs-noise-only,97531,-9,128,cav,0.638889
structured-burst-vs-noise-only,97531,-9,128,ed,0.472222
structured-burst-vs-noise-only,97531,-9,128,lzmsa-paper,0.472222
structured-burst-vs-noise-only,97531,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000
structured-burst-vs-noise-only,97531,-3,64,cav,0.555556
structured-burst-vs-noise-only,97531,-3,64,ed,0.361111
structured-burst-vs-noise-only,97531,-3,64,lzmsa-paper,0.472222
structured-burst-vs-noise-only,97531,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.861111
structured-burst-vs-noise-only,97531,-3,128,cav,0.250000
structured-burst-vs-noise-only,97531,-3,128,ed,0.555556
structured-burst-vs-noise-only,97531,-3,128,lzmsa-paper,0.305556
structured-burst-vs-noise-only,97531,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.361111
structured-burst-vs-noise-only,97531,0,64,cav,0.611111
structured-burst-vs-noise-only,97531,0,64,ed,0.694444
structured-burst-vs-noise-only,97531,0,64,lzmsa-paper,0.388889
structured-burst-vs-noise-only,97531,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.638889
structured-burst-vs-noise-only,97531,0,128,cav,0.388889
structured-burst-vs-noise-only,97531,0,128,ed,0.638889
structured-burst-vs-noise-only,97531,0,128,lzmsa-paper,0.416667
structured-burst-vs-noise-only,97531,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.861111
