taskFamilyId,seed,snrDb,windowLength,detectorId,auc
equal-energy-engineered-structure-vs-natural-correlation,97531,-9,128,lzmsa-paper,0.570747
equal-energy-engineered-structure-vs-natural-correlation,97531,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.412326
equal-energy-engineered-structure-vs-natural-correlation,97531,-3,64,cav,0.411024
equal-energy-engineered-structure-vs-natural-correlation,97531,-3,64,ed,0.526042
equal-energy-engineered-structure-vs-natural-correlation,97531,-3,64,lzmsa-paper,0.498264
equal-energy-engineered-structure-vs-natural-correlation,97531,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.467014
equal-energy-engineered-structure-vs-natural-correlation,97531,-3,128,cav,0.415365
equal-energy-engineered-structure-vs-natural-correlation,97531,-3,128,ed,0.543837
equal-energy-engineered-structure-vs-natural-correlation,97531,-3,128,lzmsa-paper,0.532552
equal-energy-engineered-structure-vs-natural-correlation,97531,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.552083
equal-energy-engineered-structure-vs-natural-correlation,97531,0,64,cav,0.642795
equal-energy-engineered-structure-vs-natural-correlation,97531,0,64,ed,0.599392
equal-energy-engineered-structure-vs-natural-correlation,97531,0,64,lzmsa-paper,0.562066
equal-energy-engineered-structure-vs-natural-correlation,97531,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.719184
equal-energy-engineered-structure-vs-natural-correlation,97531,0,128,cav,0.462674
equal-energy-engineered-structure-vs-natural-correlation,97531,0,128,ed,0.540799
equal-energy-engineered-structure-vs-natural-correlation,97531,0,128,lzmsa-paper,0.592014
equal-energy-engineered-structure-vs-natural-correlation,97531,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.597222
