taskName,detectorName,detectorMode,scoreOrientation,conditionSnrDb,windowLength,threshold,tpr,fpr,truePositives,falsePositives,positiveCount,negativeCount,auc
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,2000.000000,0.597222,0.986111,43,71,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,2001.000000,0.750000,1.000000,54,72,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,2002.000000,0.819444,1.000000,59,72,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,2003.000000,0.847222,1.000000,61,72,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,2004.000000,0.888889,1.000000,64,72,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,2005.000000,0.944444,1.000000,68,72,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,2006.000000,0.986111,1.000000,71,72,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,2009.000000,1.000000,1.000000,72,72,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,,0.000000,0.000000,0,0,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,996.000000,0.000000,0.013889,0,1,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,999.000000,0.000000,0.027778,0,2,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1000.000000,0.000000,0.069444,0,5,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1002.000000,0.013889,0.138889,1,10,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1003.000000,0.027778,0.222222,2,16,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1004.000000,0.041667,0.388889,3,28,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1005.000000,0.069444,0.555556,5,40,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1006.000000,0.138889,0.638889,10,46,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1007.000000,0.180556,0.791667,13,57,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1008.000000,0.263889,0.875000,19,63,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1009.000000,0.333333,0.930556,24,67,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1010.000000,0.361111,0.958333,26,69,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1011.000000,0.472222,0.958333,34,69,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1012.000000,0.583333,0.958333,42,69,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1013.000000,0.666667,0.972222,48,70,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1014.000000,0.777778,0.972222,56,70,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1015.000000,0.819444,0.986111,59,71,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1016.000000,0.861111,1.000000,62,72,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1017.000000,0.902778,1.000000,65,72,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1018.000000,0.930556,1.000000,67,72,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1019.000000,0.986111,1.000000,71,72,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1020.000000,1.000000,1.000000,72,72,72,72,0.126543
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,,0.000000,0.000000,0,0,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1981.000000,0.000000,0.027778,0,2,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1983.000000,0.000000,0.041667,0,3,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1984.000000,0.000000,0.069444,0,5,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1986.000000,0.000000,0.083333,0,6,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1987.000000,0.000000,0.125000,0,9,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1988.000000,0.000000,0.152778,0,11,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1989.000000,0.000000,0.250000,0,18,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1990.000000,0.000000,0.416667,0,30,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1991.000000,0.000000,0.513889,0,37,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1992.000000,0.000000,0.583333,0,42,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1993.000000,0.000000,0.680556,0,49,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1994.000000,0.000000,0.791667,0,57,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1995.000000,0.027778,0.819444,2,59,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1996.000000,0.069444,0.847222,5,61,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1997.000000,0.125000,0.916667,9,66,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1998.000000,0.208333,0.944444,15,68,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,1999.000000,0.347222,0.972222,25,70,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2000.000000,0.402778,0.986111,29,71,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2001.000000,0.513889,1.000000,37,72,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2002.000000,0.611111,1.000000,44,72,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2003.000000,0.652778,1.000000,47,72,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2004.000000,0.777778,1.000000,56,72,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2005.000000,0.819444,1.000000,59,72,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2006.000000,0.916667,1.000000,66,72,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2007.000000,0.930556,1.000000,67,72,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2008.000000,0.944444,1.000000,68,72,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2009.000000,0.986111,1.000000,71,72,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,128,2010.000000,1.000000,1.000000,72,72,72,72,0.032407
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,,0.000000,0.000000,0,0,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,136.137313,0.000000,0.013889,0,1,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,135.829171,0.013889,0.013889,1,1,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,135.713718,0.027778,0.013889,2,1,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,135.609082,0.027778,0.027778,2,2,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,135.531281,0.027778,0.041667,2,3,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,135.263627,0.027778,0.055556,2,4,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,135.234765,0.041667,0.055556,3,4,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,135.207753,0.041667,0.069444,3,5,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,135.194444,0.041667,0.083333,3,6,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,135.098020,0.055556,0.083333,4,6,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,135.045771,0.055556,0.097222,4,7,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,135.036853,0.069444,0.097222,5,7,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,134.935259,0.069444,0.111111,5,8,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,134.856574,0.069444,0.125000,5,9,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,134.735382,0.083333,0.125000,6,9,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,134.652390,0.097222,0.125000,7,9,72,72,0.446084
gaussian-emitter-vs-noise-only,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,64,134.601392,0.111111,0.125000,8,9,72,72,0.446084
