perturbationId,perturbationAxisTag,seed,taskName,conditionSnrDb,windowLength,aucLzmsaPaper,aucLzmsaMeanCompressedByteValue,aucLzmsaCompressedByteBucket64To127Proportion,aucLzmsaSuffixThirdMeanCompressedByteValue,absoluteDeltaFromPaperMeanCompressedByteValue,absoluteDeltaFromPaperCompressedByteBucket64To127Proportion,absoluteDeltaFromPaperSuffixThirdMeanCompressedByteValue
float32,packing,97531,gaussian-emitter-vs-noise-only,-9.000000,128,0.358025,0.375965,0.431809,0.411651,0.017940,0.073784,0.053626
float32,packing,97531,gaussian-emitter-vs-noise-only,-3.000000,64,0.527199,0.503858,0.554784,0.436150,0.023341,0.027585,0.091049
float32,packing,97531,gaussian-emitter-vs-noise-only,-3.000000,128,0.554012,0.536073,0.447820,0.550444,0.017939,0.106192,0.003568
float32,packing,97531,gaussian-emitter-vs-noise-only,0.000000,64,0.590085,0.565779,0.555845,0.601273,0.024306,0.034240,0.011188
float32,packing,97531,gaussian-emitter-vs-noise-only,0.000000,128,0.614873,0.598380,0.463831,0.497106,0.016493,0.151042,0.117767
float32,packing,97531,ofdm-signal-present-vs-noise-only,-9.000000,64,0.488812,0.491319,0.594136,0.453511,0.002507,0.105324,0.035301
float32,packing,97531,ofdm-signal-present-vs-noise-only,-9.000000,128,0.525849,0.525077,0.389660,0.477238,0.000772,0.136189,0.048611
float32,packing,97531,ofdm-signal-present-vs-noise-only,-3.000000,64,0.584394,0.576196,0.457176,0.540413,0.008198,0.127218,0.043981
float32,packing,97531,ofdm-signal-present-vs-noise-only,-3.000000,128,0.525656,0.495177,0.509549,0.463927,0.030479,0.016107,0.061729
float32,packing,97531,ofdm-signal-present-vs-noise-only,0.000000,64,0.564815,0.541088,0.569348,0.546779,0.023727,0.004533,0.018036
float32,packing,97531,ofdm-signal-present-vs-noise-only,0.000000,128,0.606096,0.550540,0.489198,0.576389,0.055556,0.116898,0.029707
scale-half-float32,combined,24680,gaussian-emitter-vs-noise-only,-9.000000,64,0.529707,0.536651,0.518036,0.618634,0.006944,0.011671,0.088927
scale-half-float32,combined,24680,gaussian-emitter-vs-noise-only,-9.000000,128,0.516590,0.552469,0.510995,0.538773,0.035879,0.005595,0.022183
scale-half-float32,combined,24680,gaussian-emitter-vs-noise-only,-3.000000,64,0.455150,0.476852,0.521316,0.544560,0.021702,0.066166,0.089410
scale-half-float32,combined,24680,gaussian-emitter-vs-noise-only,-3.000000,128,0.537712,0.572145,0.529996,0.530575,0.034433,0.007716,0.007137
scale-half-float32,combined,24680,gaussian-emitter-vs-noise-only,0.000000,64,0.358989,0.376543,0.504437,0.446759,0.017554,0.145448,0.087770
scale-half-float32,combined,24680,gaussian-emitter-vs-noise-only,0.000000,128,0.454668,0.494888,0.574171,0.523920,0.040220,0.119503,0.069252
scale-half-float32,combined,24680,ofdm-signal-present-vs-noise-only,-9.000000,64,0.535012,0.562500,0.535783,0.523727,0.027488,0.000771,0.011285
scale-half-float32,combined,24680,ofdm-signal-present-vs-noise-only,-9.000000,128,0.458912,0.458526,0.411651,0.534529,0.000386,0.047261,0.075617
scale-half-float32,combined,24680,ofdm-signal-present-vs-noise-only,-3.000000,64,0.370853,0.374228,0.497589,0.414738,0.003375,0.126736,0.043885
scale-half-float32,combined,24680,ofdm-signal-present-vs-noise-only,-3.000000,128,0.545718,0.574460,0.522377,0.473958,0.028742,0.023341,0.071760
scale-half-float32,combined,24680,ofdm-signal-present-vs-noise-only,0.000000,64,0.466435,0.485532,0.512346,0.489294,0.019097,0.045911,0.022859
scale-half-float32,combined,24680,ofdm-signal-present-vs-noise-only,0.000000,128,0.450231,0.481867,0.575424,0.447531,0.031636,0.125193,0.002700
scale-half-float32,combined,86420,gaussian-emitter-vs-noise-only,-9.000000,64,0.414545,0.456211,0.511671,0.439333,0.041666,0.097126,0.024788
scale-half-float32,combined,86420,gaussian-emitter-vs-noise-only,-9.000000,128,0.484761,0.560957,0.478877,0.475694,0.076196,0.005884,0.009067
scale-half-float32,combined,86420,gaussian-emitter-vs-noise-only,-3.000000,64,0.372492,0.375965,0.507813,0.427083,0.003473,0.135321,0.054591
scale-half-float32,combined,86420,gaussian-emitter-vs-noise-only,-3.000000,128,0.628279,0.634259,0.534529,0.609761,0.005980,0.093750,0.018518
scale-half-float32,combined,86420,gaussian-emitter-vs-noise-only,0.000000,64,0.409144,0.426312,0.485725,0.412616,0.017168,0.076581,0.003472
scale-half-float32,combined,86420,gaussian-emitter-vs-noise-only,0.000000,128,0.484182,0.540702,0.510127,0.489390,0.056520,0.025945,0.005208
scale-half-float32,combined,86420,ofdm-signal-present-vs-noise-only,-9.000000,64,0.558160,0.547743,0.478395,0.517747,0.010417,0.079765,0.040413
scale-half-float32,combined,86420,ofdm-signal-present-vs-noise-only,-9.000000,128,0.592207,0.612076,0.559028,0.584684,0.019869,0.033179,0.007523
scale-half-float32,combined,86420,ofdm-signal-present-vs-noise-only,-3.000000,64,0.439525,0.452160,0.470390,0.478781,0.012635,0.030865,0.039256
scale-half-float32,combined,86420,ofdm-signal-present-vs-noise-only,-3.000000,128,0.584105,0.632716,0.467882,0.499807,0.048611,0.116223,0.084298
scale-half-float32,combined,86420,ofdm-signal-present-vs-noise-only,0.000000,64,0.437693,0.466628,0.425251,0.468943,0.028935,0.012442,0.031250
scale-half-float32,combined,86420,ofdm-signal-present-vs-noise-only,0.000000,128,0.461034,0.505401,0.544078,0.474537,0.044367,0.083044,0.013503
scale-half-float32,combined,97531,gaussian-emitter-vs-noise-only,-9.000000,64,0.437693,0.445023,0.450424,0.464120,0.007330,0.012731,0.026427
scale-half-float32,combined,97531,gaussian-emitter-vs-noise-only,-9.000000,128,0.482639,0.489198,0.490837,0.462384,0.006559,0.008198,0.020255
scale-half-float32,combined,97531,gaussian-emitter-vs-noise-only,-3.000000,64,0.321181,0.351273,0.568480,0.394869,0.030092,0.247299,0.073688
scale-half-float32,combined,97531,gaussian-emitter-vs-noise-only,-3.000000,128,0.648823,0.687500,0.661844,0.608218,0.038677,0.013021,0.040605
scale-half-float32,combined,97531,gaussian-emitter-vs-noise-only,0.000000,64,0.421007,0.440490,0.520062,0.475887,0.019483,0.099055,0.054880
scale-half-float32,combined,97531,gaussian-emitter-vs-noise-only,0.000000,128,0.543981,0.587384,0.563465,0.495756,0.043403,0.019484,0.048225
scale-half-float32,combined,97531,ofdm-signal-present-vs-noise-only,-9.000000,64,0.680556,0.684606,0.585359,0.600309,0.004050,0.095197,0.080247
scale-half-float32,combined,97531,ofdm-signal-present-vs-noise-only,-9.000000,128,0.448110,0.480806,0.447242,0.483603,0.032696,0.000868,0.035493
scale-half-float32,combined,97531,ofdm-signal-present-vs-noise-only,-3.000000,64,0.458140,0.451582,0.455343,0.544271,0.006558,0.002797,0.086131
scale-half-float32,combined,97531,ofdm-signal-present-vs-noise-only,-3.000000,128,0.563465,0.564429,0.563657,0.534915,0.000964,0.000192,0.028550
scale-half-float32,combined,97531,ofdm-signal-present-vs-noise-only,0.000000,64,0.423129,0.426794,0.537133,0.465085,0.003665,0.114004,0.041956
scale-half-float32,combined,97531,ofdm-signal-present-vs-noise-only,0.000000,128,0.492091,0.512539,0.553337,0.449267,0.020448,0.061246,0.042824
