trialIndex,taskName,scenarioName,targetLabel,classLabel,isPositiveClass,sourceType,detectorName,detectorMode,scoreOrientation,conditionSnrDb,sourceSnrDb,windowLength,windowCount,sampleCount,startIndex,score,isAboveThreshold,meanSample,peakSample
21,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,838,1005.000000,false,-0.051070,2.907703
22,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,1880,1005.000000,false,0.001112,2.544571
23,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,721,1009.000000,false,0.027898,2.703842
24,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,3610,1005.000000,false,0.091979,3.584011
25,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,2673,1006.000000,false,0.027742,2.672829
26,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,67,1006.000000,false,0.119369,3.380758
27,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,3120,1009.000000,false,-0.004439,2.773503
28,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,2165,1005.000000,false,-0.165621,2.086640
29,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,78,1008.000000,false,0.150701,3.380758
30,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,2801,1002.000000,false,0.065784,2.983825
